te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0.03,0.076,0.119,0.16,0.199,0.235,1,1,1,1,1,1
0,0,0,0,0,0,0.03,0.076,0.119,0.16,0.199,0.235,1,1,1,1,1,1
0,0,0,0,0,0,0.03,0.076,0.119,0.16,0.199,0.235,1,1,1,1,1,1
0,0,0,0,0,0,0.03,0.076,0.119,0.16,0.199,0.235,1,1,1,1,1,1
0,0,0,0,0,0,0.03,0.076,0.119,0.16,0.199,0.235,1,1,1,1,1,1
0,0,0,0,0,0,0.03,0.076,0.119,0.16,0.199,0.235,1,1,1,1,1,1
0.03,0.03,0.03,0.03,0.03,0.03,0,0.048,0.092,0.134,0.172,0.208,0.982,0.982,0.982,0.982,0.982,0.982
0.076,0.076,0.076,0.076,0.076,0.076,0.048,0,0.044,0.087,0.125,0.161,0.949,0.949,0.949,0.949,0.949,0.949
0.119,0.119,0.119,0.119,0.119,0.119,0.092,0.044,0,0.043,0.081,0.117,0.919,0.919,0.919,0.919,0.919,0.919
0.16,0.16,0.16,0.16,0.16,0.16,0.134,0.087,0.043,0,0.039,0.076,0.892,0.892,0.892,0.892,0.892,0.892
0.199,0.199,0.199,0.199,0.199,0.199,0.172,0.125,0.081,0.039,0,0.037,0.868,0.868,0.868,0.868,0.868,0.868
0.235,0.235,0.235,0.235,0.235,0.235,0.208,0.161,0.117,0.076,0.037,0,0.847,0.847,0.847,0.847,0.847,0.847
1,1,1,1,1,1,0.982,0.949,0.919,0.892,0.868,0.847,0,0,0,0,0,0
1,1,1,1,1,1,0.982,0.949,0.919,0.892,0.868,0.847,0,0,0,0,0,0
1,1,1,1,1,1,0.982,0.949,0.919,0.892,0.868,0.847,0,0,0,0,0,0
1,1,1,1,1,1,0.982,0.949,0.919,0.892,0.868,0.847,0,0,0,0,0,0
1,1,1,1,1,1,0.982,0.949,0.919,0.892,0.868,0.847,0,0,0,0,0,0
1,1,1,1,1,1,0.982,0.949,0.919,0.892,0.868,0.847,0,0,0,0,0,0
