latitud;longitud
-18.4827;-70.3126
-20.2139;-70.1383
-23.6597;-70.3959
-22.445;-68.9181
-22.0882;-70.1929
-25.4036;-70.4869
-23.0931;-70.4575
-27.3668;-70.3417
-26.3442;-70.6071
-26.3799;-70.2974
-28.5765;-70.3578
-28.4568;-70.2929
-29.9065;-70.2432
-30.0168;-71.2544
-30.5991;-71.2124
-31.6277;-71.3682
-31.6344;-71.3425
-31.2125;-71.2355
-29.9047;-71.5976
-30.0309;-70.7087
-31.9075;-71.5144
-33.0458;-71.6229
-33.5996;-71.5598
-33.0472;-71.3567
-33.3205;-71.4102
-33.0384;-71.6264
-33.0214;-71.5537
-32.8833;-71.2482
-33.0458;-71.4457
-32.7875;-71.2035
-33.0098;-71.2544
-33.0103;-71.2549
-32.4478;-71.2316
-32.4285;-71.0639
-32.2594;-70.9392
-32.7844;-71.5269
-33.0424;-71.3724
-32.7521;-70.7254
-32.8325;-70.5984
-32.8377;-70.9502
-32.6214;-70.7253
-32.6212;-70.7263
-34.1713;-70.7449
-34.0667;-70.7264
-34.2667;-70.9933
-34.3903;-71.2542
-34.4065;-70.8587
-34.4487;-70.9682
-34.2998;-71.2786
-34.5817;-70.9899
-34.7239;-71.0394
-34.7012;-71.1288
-34.6364;-71.3657
-34.4231;-71.5873
-34.3869;-72.0095
-34.7589;-71.6721
-34.1344;-71.6822
-34.9824;-71.2433
-34.8749;-71.1676
-35.1155;-71.2826
-34.9768;-71.7986
-34.9983;-71.8771
-35.4232;-71.6485
-35.0834;-72.0038
-35.3329;-72.4162
-35.8487;-71.5901
-35.5911;-71.7362
-36.1438;-71.8369
-35.9637;-72.3228
-35.7335;-72.5435
-36.6063;-72.1024
-36.4267;-71.9592
-36.7411;-72.2996
-37.1013;-71.9325
-36.2821;-72.5323
-36.4942;-72.7081
-36.5639;-72.0405
-36.8201;-73.0503
-36.8276;-73.0565
-37.0302;-73.1412
-37.0887;-73.1581
-37.1696;-72.9339
-36.8227;-72.6696
-36.7185;-73.1217
-36.6206;-72.9515
-36.7399;-72.9955
-37.6869;-72.0197
-37.2837;-72.7105
-37.4621;-72.3604
-37.7222;-72.2329
-37.5079;-72.6766
-37.0846;-72.5645
-37.6637;-72.0153
-37.2462;-73.3219
-37.8047;-73.3832
-38.0172;-73.2277
-37.4764;-73.3437
-37.6088;-73.6595
-37.7966;-72.7099
-38.2363;-72.3315
-38.2502;-72.6886
-37.9536;-72.4364
-38.0503;-72.6734
-38.4353;-71.8888
-38.4476;-71.2306
-38.9325;-72.0292
-38.7449;-72.9503
-39.2868;-72.2278
-38.7082;-73.1669
-39.0973;-72.6763
-39.2291;-72.6402
-38.7779;-73.4003
-39.2144;-73.2075
-38.4178;-72.7738
-38.5277;-72.4466
-39.3702;-72.6311
-38.6547;-72.2248
-38.7335;-72.5963
-39.8099;-73.2459
-39.8826;-73.4306
-39.8561;-72.8254
-39.4529;-72.7751
-40.2931;-73.0812
-40.3326;-72.9535
-40.0692;-72.8776
-39.5332;-72.9767
-40.5744;-73.1252
-40.9736;-72.9002
-40.9074;-73.1689
-40.7839;-73.2163
-40.5785;-73.3772
-40.7554;-73.4516
-41.7726;-73.1315
-41.1517;-73.4081
-41.1267;-73.0707
-43.1863;-71.8684
-41.2606;-73.0042
-41.6192;-73.6056
-43.6161;-71.8036
-41.4687;-72.9411
-44.7477;-72.6964
-46.5416;-71.7265
-47.2549;-72.5687
-45.5713;-72.0661
-45.4037;-72.6993
-53.2984;-70.3683
-51.7264;-72.5143
-53.1598;-70.9056
-54.9334;-67.6108
-33.4428;-70.6193
-33.4401;-70.6112
-33.4711;-70.5302
-33.4345;-70.6196
-33.4269;-70.6456
-33.4384;-70.6492
-33.4285;-70.6498
-27.1501;-109.4209
-33.4566;-70.6495
-33.5089;-70.7552
-33.4866;-70.6614
-33.4984;-70.6529
-33.5013;-70.6541
-33.7336;-70.7478
-33.5876;-70.5704
-33.6091;-70.7018
-33.1383;-70.8035
-33.4164;-70.6522
-33.4074;-70.6415
-33.3986;-70.6413
-33.4032;-70.6418
-33.3961;-71.1549
-33.6864;-71.2145
-33.6051;-70.8789
-33.6727;-70.9278
-33.4358;-70.6867
-33.4378;-70.6632
-33.4413;-70.6638
-33.5847;-70.5782
-33.6764;-70.3508
-33.5208;-70.5994
-33.5119;-70.6446
-33.5116;-70.7603
-42.4794;-73.7659
-43.1171;-73.6256
-42.4806;-73.4826
-42.8825;-73.4697
-41.8703;-73.8222
